id,text,label
37576,"Nunca cambias tu numero de telefono , ¿ verdad ?",B1
43703,Caso hay disponivel la habitacíon ?,A2
42129,La atendiente de el aeropuerto me ha dito que la empresa vá reembolsar me pero desde de la primera vez estoy esperando eso reembolso .,B1
14532,Pero tengo que te avisa que no puedo venir a tu cena a el tiempo .,A1
25889,Quiería reservar una habitación de triple por mi familia con dos baños indepedientes .,A2
27451,Ali fuímos vecinos .,A2
3064,"Hola a todos ,",A1
31669,"Creo que tienes mi numero de telefono porque cuando ordené los billetes , lo te dije .",B1
37703,"Querida Margarita ,",B1
15558,adios bisous .,A2
19055,"Nadamos con delfinas , y vemos muchas tortugas .",A2
11591,Se levante a las seis_y_media_de_la_mañana para leer .,A1
30904,Continúe enviando correos y llamrando a el departmento de servicio de consumer para pedir información todos los días .,B1
10439,Espero sus noticias .,B2
324,"Yo nado trés vezes por semana , los lunes , los miercoles y los viernes .",A1
33727,Escriban me hablando de ustedes y de su ciudad !,A1
25263,"Estuve muy nervisiosa en ese momento , porque hay mucho dinero y alguna ropa nueva en mi equipaje .",B1
2541,"Manana , voy a ir a Cambodia para visitar el templo mas famoso en el region , Angkor_Wat .",A2
38027,"Actualmente una sensible parte de las personas que adquieren dolencias relacionadas con el cigarrillo es de fumantes pasivos , personas que  fumaron  toda su vida sin querer .",B2
15112,Fue la primera vez que hicimos vieje solamente .,B1
17609,"Mi abuela ha muerto , pero ella siempre vive in mi corazón .",A2
36892,"En mi opinión , deberían existir espacios apropiados para los fumadores porque lo más importante en una sociedad es , claramente , proteger la salud y el bienestar de cada ciudadano .",B2
30506,Y la vida es muy feliz .,A1
1106,"Cuando él tenía catorse años , foi vivir en São_Paulo , y jugar en Palmeiras , un grande clube , que le ensinó las regras de el fútbol .",A2
32119,Se podía ver animales corriendo en todas partes .,A2
43769,¿ podrias alojar me ?,B1
29957,"Cuando tengo tiempo libre , querría ir a España .",A2
19444,"Yo no suporto màs sentir me cansada , sem disposicion para tratar de as cosas de los días .",B1
18479,Conocemos belos sitios .,A2
43109,Y ¿ cómo se encuentra tu familia ?,B1
15359,Tengo 20 años . Soy Asiatina de china .,A1
2992,"El mes pasado , estaba en Granada , España con mi novia .",A2
22000,tiene cico hermanos . dos hermanas y tres hermanos y tu es el menor :,A1
323,"Mi plano para las próximas vacaciones son viajar para Italia , ¡ Jorge me encantó !",A2
7646,Espero su respuesta .,B2
7905,"Un_poco más tarde , el ' heroe ' se encontró a una camarera en una restaurante en la campaña .",C1
35329,"Me dice que el económico de Ingraterra no es tanto bueno , sabes chino y puedes trabajar en China si quieres .",B1
11756,Soy Ono y hace mucho tiempo que no te he visto .,B1
20869,"Yo estoy soltero , vivo solo y no tengo una novia , pero espero encontrar le .",A1
25449,Me quedé más de siete horas en el aeropuerto y nadie me ha explicado lo acontecimiento .,B1
33540,Holla !,A1
16912,Me gustan los libros tambien .,A1
31494,"Tengo tanbien mis abuelas , porq mis abulos no vive mais .",A1
12993,"Entonces , es el tiempo de corregir la situaci'on .",C1
28986,"Sin_embargo , el proceso de solicitar no es sin dudas .",B2
21229,Voy a llegar a casa un_poco tarde .,A1
31475,"Me quedé totalmente enojada , y perdí casi todo lo día en el aeropuerto .",B1
27922,"También aprecio los seguintes tipos de música : el jazz , la musica clásica y el flamengo .",A1
20635,"Me llamo motaani_mustafa , marroqui de casablaca , tengo 24 anos , soy camarero en un restaurante italiano .",A1
31717,Vamos a comer y vamos a beber de vino .,A1
21664,"Es muy amable , independente , y muy simpatico .",A1
26364,No me gusta nada hacer la compra .,A1
22618,Esto es también una oportunidad para tenermos menos fumadores .,B2
28533,Mi mama tiene exito porque ella siempre sigue sus metas .,A2
950,"Foe una alegria , pensé , que bueno algo conocido para mi desayuno .",B1
4062,"Boso , aunque no podía abondonar su puesto , pedía las mecradores que acercaran a él y contaban todas las historias de_nuevo y de_nuevo .",B1
3510,"Aunque sean mesclados , creo que los peruanos son muy parecidos por su alegría .",B2
17969,Propongo a todos hacer algún paso fácil para ayudar a los fumadores y para proteger a los demás .,B2
12492,Cuando ella tiene tiempo libre cocina diferentes dulces y se dedica a el voluntariado .,A2
2325,"Eres muy simpatica , divertida y abierta , pero un_poco de tímida .",A2
44973,"Empiezamos nuestra viaje en Barcelona , Y yo creo que fue la mejor ciudad pues Barcelona es una ciudad muy moderna y bella que tiene muchos parques y plazas peatonales , las personas son muy educadas y animada .",A2
39280,Desgraciadamente el argumento no se mantiene cuándo el gobierno hace cuentas de el valor utilizado para los tratamientos a los enfermos que fuman o que son fumantes pasivos .,B2
9025,"De peso que la gente era my simpatico , hacia falta tener cuidado de la comida y el agua .",A2
22808,Primero Marruecos es una cuidad toristiqua y tuvo muchas custombres deferentes de cada ciudad .,A2
1068,"En_vez_de vino , tomo cola y café .",A1
24072,El año pasado estuve diez meses en Madrid y me di_cuenta de que mi español mejoraba mucho y muy rápido .,B2
40012,Lo siento mucho por la molestias sobre_todo no has terminado de organizar tu nueva casa que nesisita mucho tiempo y pacincia .,B1
7503,Yo no tengo ningún problema .,A1
25085,Me llamo Márcia .,A1
19833,Es mexicana y morena .,A2
40120,Hice muchas actividades como por_ejemplo deportes acuáticos e caminadas por las montañas que fué lo que me gustó más de hacer .,A2
13505,Les escripo por mi equipaje perdido en el viaje de avión en su compañia aérea .,B1
29220,Madonna es una cantante que ha surgido en la década de 80 .,A2
42218,¿ Comó está el tiempo en julio ?,A2
17012,le escribo esta mensaje para reservar una habitacion doble el mes que viene .,A2
44840,Mi favorita pelicula espanola es ' una_pistola_en_cada_mano ' es una comedia,A1
10077,Toda una familia se está reuniendo para la boda de la hija menor .,C1
30999,Vendí mi compañia de informática por cien millón dolares y tengo tres barcos grandes .,B1
43948,¿ Vuestros precios incluyen desayuno por la mañana ?,A2
24721,Si tienes algo que es peracido a mi descripcion por_favor hace contacto comigo pronto .,B1
35049,"Este semana , tengo u examen importante , tengo que estudiar mas , pero el mes que viene , si tengo tiempo , iré a Valencia .",A2
3581,"Y por_ultimo , la puesta en escena .",C1
5940,"Pero , él hasta encuentra tiempo a pasar tiempo conmigo y mi hermana y mi madre .",A2
20458,Mi número de NIE es Y1234567 .,B1
6347,"Es evidente que no sea correcto dejar la situación como era antes , hace unas décadas , cuando la gente podía fumar donde se le ocurriera .",B2
19160,Pero ahora ha pasada una semana y no he recibido mi mochilla tampoco algunos perdones o explicación .,B1
13174,Pienso que podemos ver nos en Malasia un fin de semana .,B1
18039,"Me llamo sol , quiero reservar una hibitación en la próxima semana .",A2
14976,Envio este correo poraue me gustaria resarvar una habitación en su hotel .,A2
39822,a el fin espero ver te pronto y asta el proximo correo,A1
6418,"Hice un plato con las cosas que mas me gustavan , mientras_que fuesen para almoçar y no para desayunar .",B1
22898,"Yo y ella veíamos todos lugares por_ejemplo el bar , el suelo y las mesas .",B1
8790,Leo novelas casi todos los días .,A1
42179,Como fueron de vacaciones ?,A2
21476,Mi padre es el director de el estación de gazulina y mi madre es ama de casa .,A1
3798,"Aguardo una pronta respuesta de ustedes y les garantizo que , si no me contestan dentro_de cinco días , me tomaré las medidas legales para solucionar estos problemas .",C1
30912,Siempre pasaba vacaciones con ella .,B1
11438,No le gusta cuando una persona dice ella es muy baja .,A2
5181,"Entonces , la fui a ver en el cine de la_Loma con unos amigos de aquí , o_sea de Jaén .",C1
43537,¿ qué planes haría Ud. para su adorada mascota ?,C1
30748,"Soy sociable , honesta y pontual .",A1
5158,"Una vez , en Paris , cogí el metro con una amiga y durante el viaje todo nos parecía normal .",B1
11378,"Tengo ejos negros , pelo negro y liso , boca normal , nariz narmal .",A1
9314,"Le gusta salir de fiesta , viajar .",A2
30905,Su padre murió quando era setenta .,A2
28442,"Me llamo Mercedes , y escrito esta cara para pedir recibir mi equipaje pronto .",B1
45841,Por_fin asi es mi vida :),A1
8113,Yo tengo que hacer um trabajo con los niños que estan de recuperación .,A1
5215,"Por esto , necesitamos un habitación triple .",A2
12324,Yo pienso que estas vacaciones son menos baratos que el ano pasado .,A2
25297,Pero antes quiero preguntar te qué tal tu vida en España .,B1
772,"Yo leo muchos libros , pero prefiero libros de romance .",A1
31158,sus familia es muy comodo y la vida es fácil .,A2
31791,Besos con cariño de su amiga brasileña .,B1
34143,Hola papá y mamá !,A1
37882,"Estas empresas saben que el tobacco no es bueno para la salud , pero continuan a vender lo porque es un comercio muy valioso y no es muy elástico .",B2
20154,¿ Que precio tiene el año ? .,B2
21761,Dentro hay muchísimas cosas los cuales valoro y esto verdaderamente me aburre de no tener lo .  ,B1
40665,Sr. Responsable de el equipaje,B1
34382,"Es que el contenido era casi una broma , eran documentos e un calzoncillo usado ! ! !",B1
20640,Estoy feliz para quedar en su hotel .,A2
35641,"Pero entonces recordamos que era ilegál tirar banderas de los Estados_Unidos ( o así creíamos ) -- en_vez_de tirar las , se tenía quemar las .",B1
6975,"Así , aguardé por cerca de veinte minutos , pero mis equipajes no aparecieron .",B1
27986,Mis padres se gustan artes muchos .,A1
26726,Voy lluegar muy tarde a casa esta noche por que tengo que trabajar tarde en la tienda .,A1
3461,"yo soy muy alegre , amable , y generoso .",A1
25999,"Y hoy_en_día , es la verdad para ella .",B1
40343,esta tarde me voy a la antigua medina con mis amigas para comprar los trucos que me necesitan ...,A1
8297,Ella es muy inteligente y trabajadora .,A2
15423,Le gusta trabajar mucho .,A2
38128,"A el contratar , el jefe me prometia que voy a tener lo más buen servicio pero he descubierto que era lo peor .",C1
3799,"Ellos me contaron muchas cosas interesantes sobre sus estudios , relaciones con sus novios y familias , los últimos chismes , compartieron sus planes para el verano conmigo .",A2
24975,Este equipaje es muy especial .,B1
3431,"Cuándo me recommedó esta pelicula , me dijo que es sobre una mujer muy fuerte , como la en la pelicula Francesa",C1
34059,todos los dos estudian en el colegio tambien !,A1
42890,A mi me chefla este cantante me parece una persona modesta le gusta cantar en conciertos y trata+bien trata+bien los demas por+eso+adoro por+eso+adoro por+eso+adoro sus canciones porque son tan buenas y agradables .,A2
42296,Espero que este favor no te molesta seguramente porque no tiene otra solución y ahora estamos en noviembre y el tiempo pasa rápidamente y tengo que preparar el pasaporte y todo lo que tiene relación con el viaje .,B1
9830,Te escribo una postal desde Barcelona .,A2
3944,"Me encanta támbien , cuando soy sola , escuchar el Jazz por horas y sin fin !",A1
44959,"Además , no me he taido bastante dinero , porque no sabía que los hoteles son muy caros así_que te pido por_favor que me prestes dinero o que me dejes alojar en tu casa .",B1
29976,Jamas tuve unas vacaciones asi creo que fueran las mejores vacaciones de siempre .,A2
25915,Cada semana juego en un equipo de futbol .,B2
33175,El seguiente día nosotros ibamos a allí en el tren .,A2
8383,Está situado en la montaña .,A2
22840,"Pero , yo irei con minha familia , como sabes .",A1
18314,Soy nueva en las clases de español e me gustaria presentar me a ustedes .,A1
46701,Tetuán 5/10/2011,B1
16290,Un baño independiente en el cuarto es preferido .,A2
41293,- Cual la duración de el programa ?,B2
40199,el primeros dos viven en Canada con sus padres y son estudiantes ..... y tengo dos primos que viven en Syrie ...,A1
3231,"Me llamo Ray_Ferrer , soy filipino de Filipinas .",A1
29962,Marouane es estudiante tambien .,A1
26644,"Laura_Mclauren es una doctora que nacio en Inglaterra , viene de un familia muy modesta .",A2
46020,Estimado Sr. Garcia :,B1
200,"Hind se mi amiga Especial , nacío en 1980 en tetuan . tiené un hijo . se llama dorayd el mayor .",A2
39206,este noche no puedo venir a casa porque un amigo a invitar me a su casa para preparar una fiesta,A1
40143,Soy una persona bastante curiosa y sé que este programa me ayudaría mucho en mis estudios tanto como en mi vida diaria .,B2
18709,Adjunta a esta carta se incluye una lista de mi cosas de los que se perdio con mi equipaje .,B1
32960,"Son de Algeria , pero viven en Francia .",A2
20898,Me gusta viajar con mi amigos y visitar neuvos lugares et países .,A1
2744,"En pocos palabra pienso que es una persona que sabe como vivir , vivir de verdad .",A2
31715,El tiempo es bueno pero hace frío en la tarde y la noche .,A2
45788,Muchas gracias amigo,B1
43848,¿ Qué tal Olivia ?,B1
32993,Mí hermana está casada y tiene dos hijos .,A1
43993,¿ Es necesario tener diplomas particulares ou simplemente un diploma universitario ?,B2
40202,¿ Cuál es la posibilidad de reservar un habitación con estas características ?,A2
31231,Hoy quiero presentar te mi familia .,A1
9324,Muchas gracias por su tiempo de leer .,B2
25660,"Haz me este favor , jamás voy a olvidar le .",B1
45358,Reciban un gran saludo,B2
9932,"Si quieres escribir , envia una carta a esta dirreccion : 80 calle_de_Barcelona , Burdeos .",B1
45854,Se despedida atentamente,C1
23579,"Por eso , les pido disculpas por perdido mi equipaje .",B1
6366,"Para que usted pueda contactar me , dejo mi teléfono y correo : (41) 33081491 y danielleguizzo@gmail.com",B1
15743,Objeto : Solicitud de admisión en el programa de postgrado de lengua y literatura española .,B2
30144,Estaba gritando a el y mis padres estaban reindo .,B1
1608,"Esta soltera , y no tiene hijos . pero tiene una grande familia : tiene un hermano y dos hermanas , y muchos sobrinos .",A2
32550,Me llamo Aleksandr y hace una semana viajé a España por su compañía aérea de Moscú a Madrid .,B1
39793,¿ O vaís a viajar mas simpre ?,A1
45880,Dos besos,B1
38112,"¡ Esperando tu respuesta positiva lo mas rapidó que puedas , te saludo y por suerte nos vemos muy pronto en Barcelona ¡",B1
11141,Sus padres se divorciaron cuando ells fue pequeña .,A2
7911,"Mi hijo mayor etudia en un colegio , el pequeñio tiene 4 años y no va a la escuela .",A1
21428,Besos y abrasos fuertes .,B1
8871,Despues de más de vinte añoa de luta contra el tabaco podemos tener ambientes más limpios .,B2
16033,"Las aficiones de Mena incluye deportés , escucha musicá y sale con sus amigos .",A2
12536,Deportes no mi gusta pero tenemos una television grande para Len ; ama el futbol latino e el futbol americano .,A1
45359,un beso,B1
22384,Me gusta el cinema también y me vuelve loco las películas de charlie_chaplin .,A1
2305,"Y yo tengo un hija unico , se llama Cicci , tiene 20 meses .",A1
857,"abdul es muy pequeño , tiene 12 años . abdul vive en dubai , y ell es estudiente .",A1
43609,Y ¿ lo encuentras ?,B1
37120,"Ella les contaba , a mí clase de español y yo , muchos cuentos de su tiempo en Cuba y en Venezuela .",A2
40148,Me gustó mucho la presentación de las habitaciones y saber que tiene como pequeños  chalets  donde se puede estar tranquilo y con privacidad .,A2
25973,Sus padres no tenian mucho dinero y su vida era a_veces dificile .,A2
22086,Michael es médico y John es engiñero .,A1
45941,Estimado señor :,B2
5525,"Esperando por su pronta respuesta ,",B1
585,"Quiero reservar ocho habitaciones dobles , con baños independientes , y cocinas completas .",A2
27489,Me gusta mucho ir en el cine para ver nuevas películas .,A1
35359,"Como trabajo de profesora de lenguas extranjeras y también doy clases adicionales de literatura , soy especialmente interesada en este curso y me gustaría mucho realizar lo en un país hispanohablante .",B2
32310,Era una esperiencia divertida e inolvidable .,B1
1397,"Hay mucho cosmos , mucho comida , mucha frutas , mucho carne , muchas frescas , muchos postres .",A2
38273,"me llamo meryem tengo 24 años yo soy marroqui vivo en fez , yo soy funcionaria",A1
39767,"A mí me gusto mucho la película , porque a mí me gusta las que hacen uno pensar y que a el final te sorprenden con el desenlace .",C1
25042,La farmacia donde trabajaba tuvo dificultades y fue desgraciadamente despista .,B1
35473,"El secunco de mi hermaños vive en un pueblo en el sur , cerca el  causse_du_Larzac  , era trabajando uvos y frutas .",A1
14478,"Es violenta y , desgraciadamente , verdadera .",C1
30036,Juan es mi mejor amigo .,A2
19990,Tengo gañas de que me respondas .,A2
5228,"Avia una ves , dos niños hermanos muy ermosos .",B1
31461,Porque estoy en una reuniao de trabajo e después iremos para una fiesta comemorar cumpleaños de joao .,A1
8541,"Su madre es una actriz , se llama Yu_Ping .",A2
11126,"Hoy volveré a casa tarde , porque yo voy estudio para examen en la biblioteca .",A1
15018,Estoy escribiendo este correo para que puedas saber un_poco más de mi familia .,A1
46650,Saludos,A2
39473,"Según mi opinión , fumar en lugares públicos corresponde a una falta de respeto para la gente que está alrededor_de los fumadores y fumadoras .",B2
37093,"Pero yo sé que sabes mucho sobre alojamiento , la comida , como alquilar la casa , etc. ¿ Podrías ayudar me para buscar un piso ?",B1
18119,Fui mas mejor que malasia porque hay chicos guapisoms .,A2
9207,Espero que te puedo ver pronto .,A2
967,"Mi padre , Enrique , es muerto hay vientecinco años , pero tengo mi madre , Suzane , su edad es 91 .",A1
7947,Hace una semana y aun no me han llamado para contar me sobre eso .,B1
35601,"Con estes condiciones , ¿ cuantos cuesta ?",A2
747,"En realidad , no sé qué decir les , pero , no puedo negar que el rendimiento de su compañía nunca ha estado a la altura .",C1
46313,Eduardo,A1
27401,Sin dudas esta fue mi mejor vacacione .,A2
42096,Yo soy la meyor de la familia,A1
38552,"Más de la mitad de su placer viene de esto y si esta sin fumar , vá a tener ganas de volver a su casa el más rapido que posible .",B2
24205,"Además , salimos de la noche y nos divertimos la vida nocturna de Madrid especialmente los cines .",A2
10755,Estoy muy bien e te escrivo para contar de mi familia .,A1
21757,Ella es muy divertida y tiene casi 12 años .,A1
38216,"Hola Raul ,",B1
22882,Tengo una hermana de 19 anos et un pequeño hermano de 3 anos .,A1
33319,¡ Buenas días !,B2
33895,¡ Le pagamos NOVENTA EUROS !,B1
14784,"Soy china , de Heilongjiang .",A1
5975,"También estuvimos en restaurantes y cafeterías , la comida española es increíblemente sabrosa .",A2
4283,"Además , consulté un avogado , lo cual me dijo que tengo derecho a una indenizacion a ser paga por ustedes .",B1
39387,Porque estarei a estudiar em a biblioteca municipale,A1
35917,"Estimados señors y señores ,",B2
16612,No espere me para la cena .,A1
3698,"Buenas noches , me llamo Carolina_Andrade y vivo en el barrio Jardim_Social .",C1
30517,Mis padres estan jubilado ; Jordan esta jubilado tambien .,A1
30731,"En_resumidas_cuentas , no creo que haga mal esta ley .",B2
38054,"Querido a el programa de postgrado de lengua y literatura española de una universidad latinoamericana ,",B2
4903,"mi hermana es rubia , tiene los ojos marrones , el pelo rubio y una bonita sonrisa .",A2
41021,Se puede encontrar algun klugar cerca de el campus ?,B2
4475,"Buenas tardes , me llamo Elizabeth_Luscombe .",B2
27319,Ultimo paso .,A2
9040,Me llamo Iván .,B2
31637,Hace mucho que no escribimos y te echo mucho de menos .,B1
26964,Ahora me prentato mis familias a tí .,A1
13120,Muchas gracias para su tiempo .,A2
29068,"Me llamo Suelen , tengo 23 años y soy Publicista .",A1
24839,"Como la profesora terminaba la clase tarde , no puedo llegar a casa ahora mismo .",A1
28003,Pero leí algunos livros y escreví muchos postales .,A2
42902,En España o en EE;_UU ? para hablar ingles muy bien ?,B1
14552,Escribo para reclamar de el extrabío de mi equipaje .,B1
38129,"LO ultimo de las peliculas q he vuisto , se llama Hdidan , es una pelicula marroqui , los principales actores , eran hdidan su mujer y sus hijos , una familia que vive en la miseria .",C1
40767,Estimado Comité de la admisión de el programa de postgrado de lengua y literatura española :,B2
11242,El es muy gordo y peludo .,A1
11872,Él és muy simpático e guapo .,A1
5754,"Además , después de conoscer la su timidez desaparece y se torna una persona muy divertida .",A2
27149,Ella es una persona fantastica .,A2
24374,Es cómo El_Anillo .,B1
17662,Entramos en un mundo digno de las tragedías de Shakespeare .,C1
3075,"También , me gustaría un servicio de coche porque a los partidos , voy a tomar muchísimo .",A2
9163,Pienso que soy una persona muy adaptable y que aprende con velocidad .,B2
28012,He trabajado 44 años .,A1
24389,Los niños allí estaban muy simpáticos y felices aunque tenían poco .,A2
5266,"Tengo dieciséis años , soy magro , alto , tengo el pelo rubio y uso gafas .",A1
33497,¡ Adiós !,A2
31138,Le gusta mucho leer novelas de Scientific_American .,A1
23591,Escribo ahora a pedir compensación por mi equipaje .,B1
3563,"Queria presentar me , me llamo OLga_Levchenko , vivo en Rusia , en el pais , que nunca no haya el sol ,",B2
22183,En este golpe Getúlio_Vargas llegó a el poder .,A2
1480,"El viaje estuve maravillosa y fue muy divertida , nosotros fuemos conocer la vila que se encuntra cerca de el resort .",A2
37848,"Me han llevado a varios sitos , como la plaza , la calle de las flores y muchos otros sitios , sim_embargo lo que llamo mas mi atencion fue la calle de las flores , es muy limpia y agradavel .",A2
32671,Queria poner lo por algunos meses si es posible .,B1
11238,"Cuando bajé el avión , descubé la ciudad era muy bonita .",A2
2029,"me gusta mucho hace deporte con me amigas 2 veces per dia o voy a gimnasio con me hermano , escusha el musica todo el dia , y me gusta unpoco leo libros de otra lengua .",A1
40272,Fuí a Múnich con mis padres el otoño pasado y ¡ me encantó !,A2
22194,Su novia Natalia es muy buena pareja para Juan .,A2
